9080,97090768,8.0,3.0
66382,42503165,10.0,0.0
61359,19077,5.0,0.0
10904,56138,3.0,3.0
162246,7163520,5.0,0.0
61359,4711,8.0,3.0
66382,4708601,3.0,3.0
61359,42767886,10.0,0.0
394446,23710602,5.0,0.0
10906,35723484,10.0,0.0
25209,23451336,10.0,0.0
9080,28874799,8.0,3.0
26039,8268365,5.0,0.0
162246,3377,3.0,3.0
26039,12691089,13.0,3.0
9080,45022599,8.0,3.0
61359,13359380,10.0,0.0
10904,35774219,10.0,0.0
25209,757040,10.0,0.0
9080,33456486,3.0,3.0
25209,25181088,5.0,0.0
26039,7144516,10.0,0.0
9080,22056480,5.0,0.0
61359,4924327,10.0,0.0
61359,129033139,10.0,0.0
26039,18063305,10.0,0.0
9080,6888035,5.0,0.0
9080,149332,8.0,3.0
10906,4373439,3.0,3.0
1167050,56502439,3.0,3.0
61359,396307,10.0,0.0
1167050,2285664,3.0,3.0
10906,2210278,10.0,0.0
66382,9002767,10.0,0.0
9080,50410742,10.0,0.0
195230,75737291,5.0,0.0
61359,9861478,5.0,0.0
26039,55804,8.0,3.0
9080,29647695,8.0,3.0
394446,10586209,5.0,0.0
5997,70475064,5.0,0.0
9080,1775745,5.0,0.0
41455,116337349,10.0,0.0
62194,68523,10.0,0.0
6064,31678650,10.0,0.0
312389,3202153,10.0,0.0
61359,35345622,10.0,0.0
25209,21122162,8.0,3.0
394446,1349187,3.0,3.0
6193,3377,8.0,3.0
10904,15430259,5.0,0.0
408730,56138,3.0,3.0
195230,3545,3.0,3.0
66382,7834360,10.0,0.0
66382,126420705,10.0,0.0
6193,9570147,5.0,0.0
25209,2148774,3.0,3.0
312389,2230119,10.0,0.0
63601,88488464,5.0,0.0
9080,88936972,5.0,0.0
6193,7241979,5.0,0.0
9080,11143502,5.0,0.0
25209,3474434,10.0,0.0
9080,8523090,5.0,0.0
162246,44240745,10.0,0.0
9080,25414660,8.0,3.0
10904,2719,3.0,3.0
10904,29051,5.0,0.0
25209,3825551,5.0,0.0
61359,7308742,5.0,0.0
61359,880297,10.0,0.0
9080,17298122,5.0,0.0
25209,5501406,5.0,0.0
312389,3143000,5.0,0.0
61359,7199464,5.0,0.0
63601,4101160,10.0,0.0
71186,3269772,5.0,0.0
26039,37560559,10.0,0.0
26039,36421665,10.0,0.0
195230,1438441,5.0,0.0
9080,1127343,8.0,3.0
9080,3284387,5.0,0.0
9080,213161,8.0,3.0
62194,2617067,10.0,0.0
66382,134447431,10.0,0.0
312389,56945992,5.0,0.0
312389,6301,5.0,0.0
61359,2849752,5.0,0.0
6193,4543827,5.0,0.0
9080,26234957,8.0,3.0
783031,14001296,10.0,0.0
192254,5594259,5.0,0.0
312389,2888660,10.0,0.0
61359,15246775,5.0,0.0
9080,48919917,5.0,0.0
9080,68508,3.0,3.0
192254,2470,5.0,0.0
9080,42476585,8.0,3.0
41455,18246575,10.0,0.0
10904,26322,8.0,3.0
9080,40915842,10.0,0.0
9080,72497,5.0,0.0
9080,21701409,8.0,3.0
9080,15841,8.0,3.0
9080,16172693,8.0,3.0
312389,299200,5.0,0.0
9080,18224465,8.0,3.0
9080,3311,8.0,3.0
9080,50139649,5.0,0.0
61359,474004,5.0,0.0
6193,15027,5.0,0.0
9080,27524455,5.0,0.0
9080,8938427,5.0,0.0
9080,22053225,3.0,3.0
9080,35406365,5.0,0.0
312389,13492928,10.0,0.0
162246,9642256,10.0,0.0
9080,9674796,5.0,0.0
9080,91157613,8.0,3.0
195230,1334,8.0,3.0
101258,5667,5.0,0.0
26039,22076728,5.0,0.0
71186,55654430,5.0,0.0
195230,1852,3.0,3.0
61359,84242448,5.0,0.0
926223,20650603,3.0,3.0
9080,3231,3.0,3.0
9080,51097768,5.0,0.0
41455,3446062,5.0,0.0
6193,14556189,5.0,0.0
26039,97069,5.0,0.0
66382,144231,10.0,0.0
5997,21859426,10.0,0.0
66382,309346,13.0,3.0
394446,16471151,10.0,0.0
162246,12302,3.0,3.0
71186,29904082,3.0,3.0
162246,54418876,10.0,0.0
1167050,54766659,5.0,0.0
61359,1853256,10.0,0.0
26039,27352860,10.0,0.0
9080,1920185,10.0,0.0
9080,46454746,5.0,0.0
41455,4089,5.0,0.0
9080,11602,5.0,0.0
1167050,63811930,3.0,3.0
66382,3945249,10.0,0.0
26039,2587571,5.0,0.0
6193,3054,5.0,0.0
101258,35058,10.0,0.0
61359,16371223,10.0,0.0
71186,62379381,3.0,3.0
9080,43717451,5.0,0.0
236766,2203034,3.0,3.0
162246,13582599,5.0,0.0
195230,5023934,8.0,3.0
26039,13564662,5.0,0.0
41455,61887,5.0,0.0
6193,9350,5.0,0.0
26039,108933170,5.0,0.0
9080,6658170,5.0,0.0
9080,627927,10.0,0.0
63601,423840,5.0,0.0
312389,1013673,10.0,0.0
61359,12908987,5.0,0.0
10906,18610380,3.0,3.0
